Reaction Date,Reaction Type,Parent Type,Parent ID
"Jan 18, 2026, 3:07:26 AM",Kudos,Activity,17087668956
"Jan 18, 2026, 3:30:29 AM",Kudos,Activity,17069204014
"Jan 18, 2026, 3:30:31 AM",Kudos,Activity,17087795321
"Mar 2, 2026, 3:54:37 PM",Kudos,Activity,17574149947
"Mar 14, 2026, 5:23:44 PM",Kudos,Activity,17715476019
"Apr 19, 2026, 12:32:46 PM",Kudos,Activity,18132227997
"Apr 21, 2026, 4:10:54 PM",Kudos,Activity,18187483838
"Apr 21, 2026, 4:11:01 PM",Kudos,Activity,18176241863
"Apr 23, 2026, 4:03:27 AM",Kudos,Activity,18180829363
"Apr 23, 2026, 4:03:33 AM",Kudos,Activity,18216598177
"Apr 23, 2026, 4:03:36 AM",Kudos,Activity,18214084385
"Apr 23, 2026, 4:03:42 AM",Kudos,Activity,18209934635
"Apr 26, 2026, 4:13:15 AM",Kudos,Activity,18253343970
"Apr 26, 2026, 2:01:54 PM",Kudos,Activity,18261317101
"Apr 27, 2026, 6:02:03 PM",Kudos,Activity,18281189106
"Apr 28, 2026, 7:46:41 PM",Kudos,Activity,18296629311
"Apr 30, 2026, 2:03:46 PM",Kudos,Activity,18318994891
"Apr 30, 2026, 2:04:56 PM",Kudos,Activity,18300921838
"May 2, 2026, 5:08:19 AM",Kudos,Activity,18327039097
"May 2, 2026, 2:02:10 PM",Kudos,Activity,18343838166
"May 3, 2026, 8:36:18 PM",Kudos,Activity,18353849799
"May 8, 2026, 4:12:43 PM",Kudos,Activity,18423092087
"May 8, 2026, 6:06:41 PM",Kudos,Activity,18424754609
"May 10, 2026, 6:27:28 PM",Kudos,Activity,18439093617
"May 10, 2026, 6:41:17 PM",Kudos,Activity,18451748101
"May 11, 2026, 6:44:26 PM",Kudos,Activity,18449526564
"May 12, 2026, 11:28:18 AM",Kudos,Activity,18475341796
"May 13, 2026, 2:55:40 PM",Kudos,Activity,18481181070
"May 13, 2026, 2:55:42 PM",Kudos,Activity,18485868441
"May 14, 2026, 9:06:58 AM",Kudos,Activity,18492907699
"May 17, 2026, 3:59:21 AM",Kudos,Activity,18536992925
"May 18, 2026, 7:42:27 AM",Kudos,Activity,18542502544
"May 19, 2026, 2:52:00 AM",Kudos,Activity,18562793534
"May 20, 2026, 11:55:01 PM",Kudos,Activity,18576834512
"May 20, 2026, 11:55:02 PM",Kudos,Activity,18571783333
"May 21, 2026, 12:16:44 AM",Kudos,Activity,18503672612
"May 22, 2026, 11:25:19 PM",Kudos,Activity,18603447348
"May 22, 2026, 11:25:22 PM",Kudos,Activity,18599485069
"May 25, 2026, 9:09:01 AM",Kudos,Activity,18629041812
"May 25, 2026, 9:10:29 AM",Kudos,Activity,18631516324
"May 25, 2026, 9:11:11 AM",Kudos,Activity,18619721759
"May 26, 2026, 6:22:04 PM",Kudos,Activity,18651279114
"May 27, 2026, 5:30:28 AM",Kudos,Activity,18669560639
"May 27, 2026, 6:26:11 PM",Kudos,Activity,18665396667
"May 27, 2026, 11:42:01 PM",Kudos,Activity,18679369516
"May 29, 2026, 4:08:51 AM",Kudos,Activity,18690742749
"May 30, 2026, 6:37:42 PM",Kudos,Activity,18716015042
"May 31, 2026, 10:43:45 AM",Kudos,Activity,18726403832
"Jun 2, 2026, 4:06:53 AM",Kudos,Activity,18739964294
"Jun 2, 2026, 6:45:28 AM",Kudos,Activity,18750442454
"Jun 2, 2026, 4:42:12 PM",Kudos,Activity,18753651690
"Jun 4, 2026, 4:03:08 AM",Kudos,Activity,18778755706
"Jun 4, 2026, 4:06:55 AM",Kudos,Activity,18761660125
"Jun 4, 2026, 4:07:13 AM",Kudos,Activity,18758831557
"Jun 4, 2026, 4:07:15 AM",Kudos,Activity,18773999668
"Jun 4, 2026, 4:07:21 AM",Kudos,Activity,18768713588
"Jun 4, 2026, 6:39:33 PM",Kudos,Activity,18787463912
"Jun 5, 2026, 12:42:05 PM",Kudos,Activity,18795159739
"Jun 7, 2026, 10:35:56 AM",Kudos,Activity,18821550700
"Jun 10, 2026, 4:00:56 AM",Kudos,Activity,18854693236
"Jun 10, 2026, 4:00:58 AM",Kudos,Activity,18840351709
